# FGCom-mumble Far-Field Radiation Pattern
# Frequency: 70.0 MHz
# Altitude: 0 m
# Format: Theta Phi Gain_dBi H_Polarization V_Polarization
# Theta: Elevation angle (0-180 degrees)
# Phi: Azimuth angle (0-360 degrees)
# Gain: Antenna gain in dBi
# H_Polarization: Horizontal polarization component
# V_Polarization: Vertical polarization component
56.00 1.00 -0.20 0.5 0.5
57.00 1.00 -0.06 0.5 0.5
58.00 1.00 0.08 0.5 0.5
59.00 1.00 0.21 0.5 0.5
60.00 1.00 0.34 0.5 0.5
61.00 1.00 0.46 0.5 0.5
62.00 1.00 0.58 0.5 0.5
63.00 1.00 0.69 0.5 0.5
64.00 1.00 0.80 0.5 0.5
65.00 1.00 0.91 0.5 0.5
66.00 1.00 1.01 0.5 0.5
67.00 1.00 1.11 0.5 0.5
68.00 1.00 1.20 0.5 0.5
69.00 1.00 1.29 0.5 0.5
70.00 1.00 1.38 0.5 0.5
71.00 1.00 1.46 0.5 0.5
72.00 1.00 1.54 0.5 0.5
73.00 1.00 1.61 0.5 0.5
74.00 1.00 1.68 0.5 0.5
75.00 1.00 1.74 0.5 0.5
76.00 1.00 1.80 0.5 0.5
77.00 1.00 1.86 0.5 0.5
78.00 1.00 1.91 0.5 0.5
79.00 1.00 1.96 0.5 0.5
80.00 1.00 2.01 0.5 0.5
81.00 1.00 2.05 0.5 0.5
82.00 1.00 2.08 0.5 0.5
83.00 1.00 2.11 0.5 0.5
84.00 1.00 2.14 0.5 0.5
85.00 1.00 2.16 0.5 0.5
86.00 1.00 2.18 0.5 0.5
87.00 1.00 2.20 0.5 0.5
88.00 1.00 2.21 0.5 0.5
89.00 1.00 2.22 0.5 0.5
90.00 1.00 2.22 0.5 0.5
1.00 2.00 -35.51 0.0 1.0
2.00 2.00 -29.49 0.0 1.0
3.00 2.00 -25.97 0.0 1.0
4.00 2.00 -23.47 0.0 1.0
5.00 2.00 -21.52 0.0 1.0
6.00 2.00 -19.94 0.0 1.0
7.00 2.00 -18.59 0.0 1.0
8.00 2.00 -17.43 0.0 1.0
9.00 2.00 -16.40 0.0 1.0
10.00 2.00 -15.48 0.0 1.0
11.00 2.00 -14.64 0.0 1.0
12.00 2.00 -13.88 0.0 1.0
13.00 2.00 -13.17 0.0 1.0
14.00 2.00 -12.52 0.0 1.0
15.00 2.00 -11.91 0.0 1.0
16.00 2.00 -11.34 0.0 1.0
17.00 2.00 -10.81 0.0 1.0
18.00 2.00 -10.30 0.0 1.0
19.00 2.00 -9.82 0.0 1.0
20.00 2.00 -9.36 0.0 1.0
21.00 2.00 -8.92 0.0 1.0
22.00 2.00 -8.51 0.0 1.0
23.00 2.00 -8.11 0.0 1.0
24.00 2.00 -7.73 0.0 1.0
25.00 2.00 -7.36 0.0 1.0
26.00 2.00 -7.01 0.0 1.0
27.00 2.00 -6.66 0.0 1.0
28.00 2.00 -6.34 0.0 1.0
29.00 2.00 -6.02 0.0 1.0
30.00 2.00 -5.71 0.0 1.0
31.00 2.00 -5.41 0.0 1.0
32.00 2.00 -5.13 0.0 1.0
33.00 2.00 -4.85 0.0 1.0
34.00 2.00 -4.58 0.0 1.0
35.00 2.00 -4.31 0.0 1.0
36.00 2.00 -4.06 0.0 1.0
37.00 2.00 -3.81 0.0 1.0
38.00 2.00 -3.57 0.0 1.0
39.00 2.00 -3.34 0.0 1.0
40.00 2.00 -3.11 0.0 1.0
41.00 2.00 -2.89 0.0 1.0
42.00 2.00 -2.67 0.0 1.0
43.00 2.00 -2.46 0.0 1.0
44.00 2.00 -2.26 0.0 1.0
45.00 2.00 -2.06 0.5 0.5
46.00 2.00 -1.86 0.5 0.5
47.00 2.00 -1.67 0.5 0.5
48.00 2.00 -1.49 0.5 0.5
49.00 2.00 -1.31 0.5 0.5
50.00 2.00 -1.14 0.5 0.5
51.00 2.00 -0.97 0.5 0.5
52.00 2.00 -0.81 0.5 0.5
53.00 2.00 -0.65 0.5 0.5
54.00 2.00 -0.49 0.5 0.5
55.00 2.00 -0.34 0.5 0.5
56.00 2.00 -0.20 0.5 0.5
57.00 2.00 -0.06 0.5 0.5
58.00 2.00 0.08 0.5 0.5
59.00 2.00 0.21 0.5 0.5
60.00 2.00 0.34 0.5 0.5
61.00 2.00 0.46 0.5 0.5
62.00 2.00 0.58 0.5 0.5
63.00 2.00 0.69 0.5 0.5
64.00 2.00 0.80 0.5 0.5
65.00 2.00 0.91 0.5 0.5
66.00 2.00 1.01 0.5 0.5
67.00 2.00 1.11 0.5 0.5
68.00 2.00 1.20 0.5 0.5
69.00 2.00 1.29 0.5 0.5
70.00 2.00 1.38 0.5 0.5
71.00 2.00 1.46 0.5 0.5
72.00 2.00 1.54 0.5 0.5
73.00 2.00 1.61 0.5 0.5
74.00 2.00 1.68 0.5 0.5
75.00 2.00 1.74 0.5 0.5
76.00 2.00 1.80 0.5 0.5
77.00 2.00 1.86 0.5 0.5
78.00 2.00 1.91 0.5 0.5
79.00 2.00 1.96 0.5 0.5
80.00 2.00 2.01 0.5 0.5
81.00 2.00 2.05 0.5 0.5
82.00 2.00 2.08 0.5 0.5
83.00 2.00 2.11 0.5 0.5
84.00 2.00 2.14 0.5 0.5
85.00 2.00 2.16 0.5 0.5
86.00 2.00 2.18 0.5 0.5
87.00 2.00 2.20 0.5 0.5
88.00 2.00 2.21 0.5 0.5
89.00 2.00 2.22 0.5 0.5
90.00 2.00 2.22 0.5 0.5
1.00 3.00 -35.51 0.0 1.0
2.00 3.00 -29.49 0.0 1.0
3.00 3.00 -25.97 0.0 1.0
4.00 3.00 -23.47 0.0 1.0
5.00 3.00 -21.52 0.0 1.0
6.00 3.00 -19.94 0.0 1.0
7.00 3.00 -18.59 0.0 1.0
8.00 3.00 -17.43 0.0 1.0
9.00 3.00 -16.40 0.0 1.0
10.00 3.00 -15.48 0.0 1.0
11.00 3.00 -14.64 0.0 1.0
12.00 3.00 -13.88 0.0 1.0
13.00 3.00 -13.17 0.0 1.0
14.00 3.00 -12.52 0.0 1.0
15.00 3.00 -11.91 0.0 1.0
16.00 3.00 -11.34 0.0 1.0
17.00 3.00 -10.81 0.0 1.0
18.00 3.00 -10.30 0.0 1.0
19.00 3.00 -9.82 0.0 1.0
20.00 3.00 -9.36 0.0 1.0
21.00 3.00 -8.92 0.0 1.0
22.00 3.00 -8.51 0.0 1.0
23.00 3.00 -8.11 0.0 1.0
24.00 3.00 -7.73 0.0 1.0
25.00 3.00 -7.36 0.0 1.0
26.00 3.00 -7.01 0.0 1.0
27.00 3.00 -6.66 0.0 1.0
28.00 3.00 -6.34 0.0 1.0
29.00 3.00 -6.02 0.0 1.0
30.00 3.00 -5.71 0.0 1.0
31.00 3.00 -5.41 0.0 1.0
32.00 3.00 -5.13 0.0 1.0
33.00 3.00 -4.85 0.0 1.0
34.00 3.00 -4.58 0.0 1.0
35.00 3.00 -4.31 0.0 1.0
36.00 3.00 -4.06 0.0 1.0
37.00 3.00 -3.81 0.0 1.0
38.00 3.00 -3.57 0.0 1.0
39.00 3.00 -3.34 0.0 1.0
40.00 3.00 -3.11 0.0 1.0
41.00 3.00 -2.89 0.0 1.0
42.00 3.00 -2.67 0.0 1.0
43.00 3.00 -2.46 0.0 1.0
44.00 3.00 -2.26 0.0 1.0
45.00 3.00 -2.06 0.5 0.5
46.00 3.00 -1.86 0.5 0.5
47.00 3.00 -1.67 0.5 0.5
48.00 3.00 -1.49 0.5 0.5
49.00 3.00 -1.31 0.5 0.5
50.00 3.00 -1.14 0.5 0.5
51.00 3.00 -0.97 0.5 0.5
52.00 3.00 -0.81 0.5 0.5
53.00 3.00 -0.65 0.5 0.5
54.00 3.00 -0.49 0.5 0.5
55.00 3.00 -0.34 0.5 0.5
56.00 3.00 -0.20 0.5 0.5
57.00 3.00 -0.06 0.5 0.5
58.00 3.00 0.08 0.5 0.5
59.00 3.00 0.21 0.5 0.5
60.00 3.00 0.34 0.5 0.5
61.00 3.00 0.46 0.5 0.5
62.00 3.00 0.58 0.5 0.5
63.00 3.00 0.69 0.5 0.5
64.00 3.00 0.80 0.5 0.5
65.00 3.00 0.91 0.5 0.5
66.00 3.00 1.01 0.5 0.5
67.00 3.00 1.11 0.5 0.5
68.00 3.00 1.20 0.5 0.5
69.00 3.00 1.29 0.5 0.5
70.00 3.00 1.38 0.5 0.5
71.00 3.00 1.46 0.5 0.5
72.00 3.00 1.54 0.5 0.5
73.00 3.00 1.61 0.5 0.5
74.00 3.00 1.68 0.5 0.5
75.00 3.00 1.74 0.5 0.5
76.00 3.00 1.80 0.5 0.5
77.00 3.00 1.86 0.5 0.5
78.00 3.00 1.91 0.5 0.5
79.00 3.00 1.96 0.5 0.5
80.00 3.00 2.01 0.5 0.5
81.00 3.00 2.05 0.5 0.5
82.00 3.00 2.08 0.5 0.5
83.00 3.00 2.11 0.5 0.5
84.00 3.00 2.14 0.5 0.5
85.00 3.00 2.16 0.5 0.5
86.00 3.00 2.18 0.5 0.5
87.00 3.00 2.20 0.5 0.5
88.00 3.00 2.21 0.5 0.5
89.00 3.00 2.22 0.5 0.5
90.00 3.00 2.22 0.5 0.5
1.00 4.00 -35.51 0.0 1.0
2.00 4.00 -29.49 0.0 1.0
3.00 4.00 -25.97 0.0 1.0
4.00 4.00 -23.47 0.0 1.0
5.00 4.00 -21.52 0.0 1.0
6.00 4.00 -19.94 0.0 1.0
7.00 4.00 -18.59 0.0 1.0
8.00 4.00 -17.43 0.0 1.0
9.00 4.00 -16.40 0.0 1.0
10.00 4.00 -15.48 0.0 1.0
11.00 4.00 -14.64 0.0 1.0
12.00 4.00 -13.88 0.0 1.0
13.00 4.00 -13.17 0.0 1.0
14.00 4.00 -12.52 0.0 1.0
15.00 4.00 -11.91 0.0 1.0
16.00 4.00 -11.34 0.0 1.0
17.00 4.00 -10.81 0.0 1.0
18.00 4.00 -10.30 0.0 1.0
19.00 4.00 -9.82 0.0 1.0
20.00 4.00 -9.36 0.0 1.0
21.00 4.00 -8.92 0.0 1.0
22.00 4.00 -8.51 0.0 1.0
23.00 4.00 -8.11 0.0 1.0
24.00 4.00 -7.73 0.0 1.0
25.00 4.00 -7.36 0.0 1.0
26.00 4.00 -7.01 0.0 1.0
27.00 4.00 -6.66 0.0 1.0
28.00 4.00 -6.34 0.0 1.0
29.00 4.00 -6.02 0.0 1.0
30.00 4.00 -5.71 0.0 1.0
31.00 4.00 -5.41 0.0 1.0
32.00 4.00 -5.13 0.0 1.0
33.00 4.00 -4.85 0.0 1.0
34.00 4.00 -4.58 0.0 1.0
35.00 4.00 -4.31 0.0 1.0
36.00 4.00 -4.06 0.0 1.0
37.00 4.00 -3.81 0.0 1.0
38.00 4.00 -3.57 0.0 1.0
39.00 4.00 -3.34 0.0 1.0
40.00 4.00 -3.11 0.0 1.0
41.00 4.00 -2.89 0.0 1.0
42.00 4.00 -2.67 0.0 1.0
43.00 4.00 -2.46 0.0 1.0
44.00 4.00 -2.26 0.0 1.0
45.00 4.00 -2.06 0.5 0.5
46.00 4.00 -1.86 0.5 0.5
47.00 4.00 -1.67 0.5 0.5
48.00 4.00 -1.49 0.5 0.5
49.00 4.00 -1.31 0.5 0.5
50.00 4.00 -1.14 0.5 0.5
51.00 4.00 -0.97 0.5 0.5
52.00 4.00 -0.81 0.5 0.5
53.00 4.00 -0.65 0.5 0.5
54.00 4.00 -0.49 0.5 0.5
55.00 4.00 -0.34 0.5 0.5
56.00 4.00 -0.20 0.5 0.5
57.00 4.00 -0.06 0.5 0.5
58.00 4.00 0.08 0.5 0.5
59.00 4.00 0.21 0.5 0.5
60.00 4.00 0.34 0.5 0.5
61.00 4.00 0.46 0.5 0.5
62.00 4.00 0.58 0.5 0.5
63.00 4.00 0.69 0.5 0.5
64.00 4.00 0.80 0.5 0.5
65.00 4.00 0.91 0.5 0.5
66.00 4.00 1.01 0.5 0.5
67.00 4.00 1.11 0.5 0.5
68.00 4.00 1.20 0.5 0.5
69.00 4.00 1.29 0.5 0.5
70.00 4.00 1.38 0.5 0.5
71.00 4.00 1.46 0.5 0.5
72.00 4.00 1.54 0.5 0.5
73.00 4.00 1.61 0.5 0.5
74.00 4.00 1.68 0.5 0.5
75.00 4.00 1.74 0.5 0.5
76.00 4.00 1.80 0.5 0.5
77.00 4.00 1.86 0.5 0.5
78.00 4.00 1.91 0.5 0.5
79.00 4.00 1.96 0.5 0.5
80.00 4.00 2.01 0.5 0.5
81.00 4.00 2.05 0.5 0.5
82.00 4.00 2.08 0.5 0.5
83.00 4.00 2.11 0.5 0.5
84.00 4.00 2.14 0.5 0.5
85.00 4.00 2.16 0.5 0.5
86.00 4.00 2.18 0.5 0.5
87.00 4.00 2.20 0.5 0.5
88.00 4.00 2.21 0.5 0.5
89.00 4.00 2.22 0.5 0.5
90.00 4.00 2.22 0.5 0.5
1.00 5.00 -35.51 0.0 1.0
2.00 5.00 -29.49 0.0 1.0
3.00 5.00 -25.97 0.0 1.0
4.00 5.00 -23.47 0.0 1.0
5.00 5.00 -21.52 0.0 1.0
6.00 5.00 -19.94 0.0 1.0
7.00 5.00 -18.59 0.0 1.0
8.00 5.00 -17.43 0.0 1.0
9.00 5.00 -16.40 0.0 1.0
10.00 5.00 -15.48 0.0 1.0
11.00 5.00 -14.64 0.0 1.0
12.00 5.00 -13.88 0.0 1.0
13.00 5.00 -13.17 0.0 1.0
14.00 5.00 -12.52 0.0 1.0
15.00 5.00 -11.91 0.0 1.0
16.00 5.00 -11.34 0.0 1.0
17.00 5.00 -10.81 0.0 1.0
18.00 5.00 -10.30 0.0 1.0
19.00 5.00 -9.82 0.0 1.0
20.00 5.00 -9.36 0.0 1.0
21.00 5.00 -8.92 0.0 1.0
22.00 5.00 -8.51 0.0 1.0
23.00 5.00 -8.11 0.0 1.0
24.00 5.00 -7.73 0.0 1.0
25.00 5.00 -7.36 0.0 1.0
26.00 5.00 -7.01 0.0 1.0
27.00 5.00 -6.66 0.0 1.0
28.00 5.00 -6.34 0.0 1.0
29.00 5.00 -6.02 0.0 1.0
30.00 5.00 -5.71 0.0 1.0
31.00 5.00 -5.41 0.0 1.0
32.00 5.00 -5.13 0.0 1.0
33.00 5.00 -4.85 0.0 1.0
34.00 5.00 -4.58 0.0 1.0
35.00 5.00 -4.31 0.0 1.0
36.00 5.00 -4.06 0.0 1.0
37.00 5.00 -3.81 0.0 1.0
38.00 5.00 -3.57 0.0 1.0
39.00 5.00 -3.34 0.0 1.0
40.00 5.00 -3.11 0.0 1.0
41.00 5.00 -2.89 0.0 1.0
42.00 5.00 -2.67 0.0 1.0
43.00 5.00 -2.46 0.0 1.0
44.00 5.00 -2.26 0.0 1.0
45.00 5.00 -2.06 0.5 0.5
46.00 5.00 -1.86 0.5 0.5
47.00 5.00 -1.67 0.5 0.5
48.00 5.00 -1.49 0.5 0.5
49.00 5.00 -1.31 0.5 0.5
50.00 5.00 -1.14 0.5 0.5
51.00 5.00 -0.97 0.5 0.5
52.00 5.00 -0.81 0.5 0.5
53.00 5.00 -0.65 0.5 0.5
54.00 5.00 -0.49 0.5 0.5
55.00 5.00 -0.34 0.5 0.5
56.00 5.00 -0.20 0.5 0.5
57.00 5.00 -0.06 0.5 0.5
58.00 5.00 0.08 0.5 0.5
59.00 5.00 0.21 0.5 0.5
60.00 5.00 0.34 0.5 0.5
61.00 5.00 0.46 0.5 0.5
62.00 5.00 0.58 0.5 0.5
63.00 5.00 0.69 0.5 0.5
64.00 5.00 0.80 0.5 0.5
65.00 5.00 0.91 0.5 0.5
66.00 5.00 1.01 0.5 0.5
67.00 5.00 1.11 0.5 0.5
68.00 5.00 1.20 0.5 0.5
69.00 5.00 1.29 0.5 0.5
70.00 5.00 1.38 0.5 0.5
71.00 5.00 1.46 0.5 0.5
72.00 5.00 1.54 0.5 0.5
73.00 5.00 1.61 0.5 0.5
74.00 5.00 1.68 0.5 0.5
75.00 5.00 1.74 0.5 0.5
76.00 5.00 1.80 0.5 0.5
77.00 5.00 1.86 0.5 0.5
78.00 5.00 1.91 0.5 0.5
79.00 5.00 1.96 0.5 0.5
80.00 5.00 2.01 0.5 0.5
81.00 5.00 2.05 0.5 0.5
82.00 5.00 2.08 0.5 0.5
83.00 5.00 2.11 0.5 0.5
84.00 5.00 2.14 0.5 0.5
85.00 5.00 2.16 0.5 0.5
86.00 5.00 2.18 0.5 0.5
87.00 5.00 2.20 0.5 0.5
88.00 5.00 2.21 0.5 0.5
89.00 5.00 2.22 0.5 0.5
90.00 5.00 2.22 0.5 0.5
1.00 6.00 -35.51 0.0 1.0
2.00 6.00 -29.49 0.0 1.0
3.00 6.00 -25.97 0.0 1.0
4.00 6.00 -23.47 0.0 1.0
5.00 6.00 -21.52 0.0 1.0
6.00 6.00 -19.94 0.0 1.0
7.00 6.00 -18.59 0.0 1.0
8.00 6.00 -17.43 0.0 1.0
9.00 6.00 -16.40 0.0 1.0
10.00 6.00 -15.48 0.0 1.0
11.00 6.00 -14.64 0.0 1.0
12.00 6.00 -13.88 0.0 1.0
13.00 6.00 -13.17 0.0 1.0
14.00 6.00 -12.52 0.0 1.0
15.00 6.00 -11.91 0.0 1.0
16.00 6.00 -11.34 0.0 1.0
17.00 6.00 -10.81 0.0 1.0
18.00 6.00 -10.30 0.0 1.0
19.00 6.00 -9.82 0.0 1.0
20.00 6.00 -9.36 0.0 1.0
21.00 6.00 -8.92 0.0 1.0
22.00 6.00 -8.51 0.0 1.0
23.00 6.00 -8.11 0.0 1.0
24.00 6.00 -7.73 0.0 1.0
25.00 6.00 -7.36 0.0 1.0
26.00 6.00 -7.01 0.0 1.0
27.00 6.00 -6.66 0.0 1.0
28.00 6.00 -6.34 0.0 1.0
29.00 6.00 -6.02 0.0 1.0
30.00 6.00 -5.71 0.0 1.0
31.00 6.00 -5.41 0.0 1.0
32.00 6.00 -5.13 0.0 1.0
33.00 6.00 -4.85 0.0 1.0
34.00 6.00 -4.58 0.0 1.0
35.00 6.00 -4.31 0.0 1.0
36.00 6.00 -4.06 0.0 1.0
37.00 6.00 -3.81 0.0 1.0
38.00 6.00 -3.57 0.0 1.0
39.00 6.00 -3.34 0.0 1.0
40.00 6.00 -3.11 0.0 1.0
41.00 6.00 -2.89 0.0 1.0
42.00 6.00 -2.67 0.0 1.0
43.00 6.00 -2.46 0.0 1.0
44.00 6.00 -2.26 0.0 1.0
45.00 6.00 -2.06 0.5 0.5
46.00 6.00 -1.86 0.5 0.5
47.00 6.00 -1.67 0.5 0.5
48.00 6.00 -1.49 0.5 0.5
49.00 6.00 -1.31 0.5 0.5
50.00 6.00 -1.14 0.5 0.5
51.00 6.00 -0.97 0.5 0.5
52.00 6.00 -0.81 0.5 0.5
53.00 6.00 -0.65 0.5 0.5
54.00 6.00 -0.49 0.5 0.5
55.00 6.00 -0.34 0.5 0.5
56.00 6.00 -0.20 0.5 0.5
57.00 6.00 -0.06 0.5 0.5
58.00 6.00 0.08 0.5 0.5
59.00 6.00 0.21 0.5 0.5
60.00 6.00 0.34 0.5 0.5
61.00 6.00 0.46 0.5 0.5
62.00 6.00 0.58 0.5 0.5
63.00 6.00 0.69 0.5 0.5
64.00 6.00 0.80 0.5 0.5
65.00 6.00 0.91 0.5 0.5
66.00 6.00 1.01 0.5 0.5
67.00 6.00 1.11 0.5 0.5
68.00 6.00 1.20 0.5 0.5
69.00 6.00 1.29 0.5 0.5
70.00 6.00 1.38 0.5 0.5
71.00 6.00 1.46 0.5 0.5
72.00 6.00 1.54 0.5 0.5
73.00 6.00 1.61 0.5 0.5
74.00 6.00 1.68 0.5 0.5
75.00 6.00 1.74 0.5 0.5
76.00 6.00 1.80 0.5 0.5
77.00 6.00 1.86 0.5 0.5
78.00 6.00 1.91 0.5 0.5
79.00 6.00 1.96 0.5 0.5
80.00 6.00 2.01 0.5 0.5
81.00 6.00 2.05 0.5 0.5
82.00 6.00 2.08 0.5 0.5
83.00 6.00 2.11 0.5 0.5
84.00 6.00 2.14 0.5 0.5
85.00 6.00 2.16 0.5 0.5
86.00 6.00 2.18 0.5 0.5
87.00 6.00 2.20 0.5 0.5
88.00 6.00 2.21 0.5 0.5
89.00 6.00 2.22 0.5 0.5
90.00 6.00 2.22 0.5 0.5
1.00 7.00 -35.51 0.0 1.0
2.00 7.00 -29.49 0.0 1.0
3.00 7.00 -25.97 0.0 1.0
4.00 7.00 -23.47 0.0 1.0
5.00 7.00 -21.52 0.0 1.0
6.00 7.00 -19.94 0.0 1.0
7.00 7.00 -18.59 0.0 1.0
8.00 7.00 -17.43 0.0 1.0
9.00 7.00 -16.40 0.0 1.0
10.00 7.00 -15.48 0.0 1.0
11.00 7.00 -14.64 0.0 1.0
12.00 7.00 -13.88 0.0 1.0
13.00 7.00 -13.17 0.0 1.0
14.00 7.00 -12.52 0.0 1.0
15.00 7.00 -11.91 0.0 1.0
16.00 7.00 -11.34 0.0 1.0
17.00 7.00 -10.81 0.0 1.0
18.00 7.00 -10.30 0.0 1.0
19.00 7.00 -9.82 0.0 1.0
20.00 7.00 -9.36 0.0 1.0
21.00 7.00 -8.92 0.0 1.0
22.00 7.00 -8.51 0.0 1.0
23.00 7.00 -8.11 0.0 1.0
24.00 7.00 -7.73 0.0 1.0
25.00 7.00 -7.36 0.0 1.0
26.00 7.00 -7.01 0.0 1.0
27.00 7.00 -6.66 0.0 1.0
28.00 7.00 -6.34 0.0 1.0
29.00 7.00 -6.02 0.0 1.0
30.00 7.00 -5.71 0.0 1.0
31.00 7.00 -5.41 0.0 1.0
